l/d,a
0,1
0.05,0.9524
0.1,0.90922
0.15,0.86993
0.2,0.83408
0.25,0.80127
0.3,0.77115
0.35,0.74341
0.4,0.71779
0.45,0.69404
0.5,0.67198
0.55,0.65143
0.6,0.63223
0.65,0.61425
0.7,0.59737
0.75,0.58148
0.8,0.56655
0.85,0.55236
0.9,0.53898
0.95,0.52625
1,0.51423
1.1,0.49185
1.2,0.47149
1.3,0.45289
1.4,0.43581
1.5,0.42006
1.6,0.40548
1.7,0.39195
1.8,0.37935
1.9,0.36759
2,0.35658
2.5,0.31054
3,0.27546
3.5,0.24776
4,0.2253
4.5,0.20669
5,0.19099
6,0.16596
7,0.14684
8,0.13175
9,0.11951
10,0.10938
15,0.07699
20,0.05949
25,0.04851
30,0.04097
35,0.03546
40,0.03127
50,0.02529
500,0.0026479
5000,0.00026643
